"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230914","HD현대오일뱅크","셀프","0","1798","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230915","HD현대오일뱅크","셀프","0","1798","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230916","HD현대오일뱅크","셀프","0","1798","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230917","HD현대오일뱅크","셀프","0","1798","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230918","HD현대오일뱅크","셀프","0","1798","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230919","HD현대오일뱅크","셀프","0","1798","1698","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230920","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230921","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230922","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230923","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230924","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230925","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230926","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230927","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230928","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230929","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230930","HD현대오일뱅크","셀프","0","1827","1727","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20231001","HD현대오일뱅크","셀프","0","1827","1727","0"
